1,2,3,4,5,6
teixema01,Silver Slugger,2005,AL,,1B
soriaal01,Silver Slugger,2005,AL,,2B
rodrial01,Silver Slugger,2005,AL,,3B
varitja01,Silver Slugger,2005,AL,,C
ortizda01,Silver Slugger,2005,AL,,DH
guerrvl01,Silver Slugger,2005,AL,,OF
ramirma02,Silver Slugger,2005,AL,,OF
sheffga01,Silver Slugger,2005,AL,,OF
tejadmi01,Silver Slugger,2005,AL,,SS
leede02,Silver Slugger,2005,NL,,1B
kentje01,Silver Slugger,2005,NL,,2B
ensbemo01,Silver Slugger,2005,NL,,3B
barremi01,Silver Slugger,2005,NL,,C
cabremi01,Silver Slugger,2005,NL,,OF
jonesan01,Silver Slugger,2005,NL,,OF
leeca01,Silver Slugger,2005,NL,,OF
marquja01,Silver Slugger,2005,NL,,P
lopezfe01,Silver Slugger,2005,NL,,SS
morneju01,Silver Slugger,2006,AL,,1B
canoro01,Silver Slugger,2006,AL,,2B
credejo01,Silver Slugger,2006,AL,,3B
mauerjo01,Silver Slugger,2006,AL,,C
ortizda01,Silver Slugger,2006,AL,,DH
dyeje01,Silver Slugger,2006,AL,,OF
guerrvl01,Silver Slugger,2006,AL,,OF
ramirma02,Silver Slugger,2006,AL,,OF
jeterde01,Silver Slugger,2006,AL,,SS
howarry01,Silver Slugger,2006,NL,,1B
utleych01,Silver Slugger,2006,NL,,2B
cabremi01,Silver Slugger,2006,NL,,3B
mccanbr01,Silver Slugger,2006,NL,,C
beltrca01,Silver Slugger,2006,NL,,OF
hollima01,Silver Slugger,2006,NL,,OF
soriaal01,Silver Slugger,2006,NL,,OF
zambrca01,Silver Slugger,2006,NL,,P
reyesjo01,Silver Slugger,2006,NL,,SS
penaca01,Silver Slugger,2007,AL,,1B
polanpl01,Silver Slugger,2007,AL,,2B
rodrial01,Silver Slugger,2007,AL,,3B
posadjo01,Silver Slugger,2007,AL,,C
ortizda01,Silver Slugger,2007,AL,,DH
guerrvl01,Silver Slugger,2007,AL,,OF
ordonma01,Silver Slugger,2007,AL,,OF
suzukic01,Silver Slugger,2007,AL,,OF
jeterde01,Silver Slugger,2007,AL,,SS
fieldpr01,Silver Slugger,2007,NL,,1B
utleych01,Silver Slugger,2007,NL,,2B
wrighda03,Silver Slugger,2007,NL,,3B
martiru01,Silver Slugger,2007,NL,,C
beltrca01,Silver Slugger,2007,NL,,OF
hollima01,Silver Slugger,2007,NL,,OF
leeca01,Silver Slugger,2007,NL,,OF
owingmi01,Silver Slugger,2007,NL,,P
rolliji01,Silver Slugger,2007,NL,,SS
morneju01,Silver Slugger,2008,AL,,1B
pedrodu01,Silver Slugger,2008,AL,,2B
rodrial01,Silver Slugger,2008,AL,,3B
mauerjo01,Silver Slugger,2008,AL,,C
huffau01,Silver Slugger,2008,AL,,DH
