,playerID,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,AVG,OBP,SLG,OPS
0,abreubo01,2005,162,588,104,168,37,1,24,102.0,117,134.0,15.0,0.286,0.4,0.474,0.874
1,adamsru01,2005,139,481,68,123,27,5,8,63.0,50,57.0,1.0,0.256,0.321,0.383,0.704
2,alfoned01,2005,109,368,36,102,17,1,2,43.0,27,34.0,1.0,0.277,0.323,0.345,0.668
3,aloumo01,2005,123,427,67,137,21,3,19,63.0,56,43.0,1.0,0.321,0.396,0.518,0.914
4,anderga01,2005,142,575,68,163,34,1,17,96.0,23,84.0,8.0,0.283,0.308,0.435,0.743
5,anderma02,2005,123,235,31,62,9,0,7,19.0,18,45.0,0.0,0.264,0.314,0.391,0.705
6,ardoida01,2005,80,210,28,48,10,0,6,22.0,20,69.0,2.0,0.229,0.293,0.362,0.655
7,atkinga01,2005,138,519,62,149,31,1,13,89.0,45,72.0,1.0,0.287,0.342,0.426,0.768
8,aurilri01,2005,114,426,61,120,23,2,14,68.0,37,67.0,2.0,0.282,0.337,0.444,0.781
9,ausmubr01,2005,134,387,35,100,19,0,3,47.0,51,48.0,8.0,0.258,0.344,0.331,0.675
10,baergca01,2005,93,158,18,40,7,0,2,19.0,7,17.0,0.0,0.253,0.285,0.335,0.62
11,barajro01,2005,120,410,53,104,24,0,21,60.0,26,70.0,0.0,0.254,0.296,0.466,0.762
12,barmecl01,2005,81,350,55,101,19,1,10,46.0,16,36.0,1.0,0.289,0.319,0.434,0.753
13,barremi01,2005,133,424,48,117,32,3,16,61.0,40,61.0,3.0,0.276,0.335,0.479,0.814
14,bayja01,2005,162,599,110,183,44,6,32,101.0,95,142.0,9.0,0.306,0.397,0.559,0.956
15,bellda01,2005,150,557,53,138,31,1,10,61.0,47,69.0,6.0,0.248,0.304,0.361,0.665
16,bellhma01,2005,85,283,41,61,20,0,7,28.0,49,109.0,1.0,0.216,0.328,0.36,0.688
17,belliro01,2005,145,536,71,152,36,1,17,78.0,35,72.0,0.0,0.284,0.324,0.45,0.774
18,beltrad01,2005,156,603,69,154,36,1,19,87.0,38,108.0,6.0,0.255,0.298,0.413,0.711
19,beltrca01,2005,151,582,83,155,34,2,16,78.0,56,96.0,5.0,0.266,0.328,0.414,0.742
20,berkmla01,2005,132,468,76,137,34,1,24,82.0,91,72.0,12.0,0.293,0.406,0.524,0.93
21,berroan01,2005,159,608,68,164,21,5,11,55.0,18,108.0,3.0,0.27,0.29,0.375,0.665
22,betemwi01,2005,115,246,36,75,12,4,4,20.0,22,55.0,4.0,0.305,0.359,0.435,0.794
23,biggicr01,2005,155,590,94,156,40,1,26,69.0,37,90.0,2.0,0.264,0.306,0.468,0.774
24,blakeca01,2005,147,523,72,126,32,1,23,58.0,43,116.0,3.0,0.241,0.296,0.438,0.734
25,blaloha01,2005,161,647,80,170,34,0,25,92.0,51,132.0,1.0,0.263,0.315,0.431,0.746
26,bloomwi01,2005,82,249,27,64,15,2,0,22.0,11,38.0,0.0,0.257,0.286,0.333,0.619
27,booneaa01,2005,143,511,61,124,19,1,16,60.0,35,92.0,3.0,0.243,0.288,0.378,0.666
28,branyru01,2005,85,202,23,52,11,0,12,31.0,39,80.0,10.0,0.257,0.378,0.49,0.868
29,brousbe01,2005,142,466,59,119,30,5,19,68.0,32,98.0,5.0,0.255,0.301,0.464,0.765
30,brownem01,2005,150,545,75,156,31,5,17,86.0,48,108.0,1.0,0.286,0.34,0.455,0.795
31,brunter01,2005,91,109,19,24,5,2,4,14.0,10,25.0,0.0,0.22,0.286,0.413,0.699
32,buckjo01,2005,118,401,40,97,21,1,12,47.0,23,94.0,2.0,0.242,0.282,0.389,0.671
