,playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
86002,abreubo01,2005,1,PHI,NL,162,588,104,168,37,1,24,102.0,31.0,9.0,117,134.0,15.0,6.0,0.0,8.0,7.0
86006,adamsru01,2005,1,TOR,AL,139,481,68,123,27,5,8,63.0,11.0,2.0,50,57.0,1.0,3.0,3.0,8.0,5.0
86013,alfoned01,2005,1,SFN,NL,109,368,36,102,17,1,2,43.0,2.0,0.0,27,34.0,1.0,2.0,1.0,4.0,11.0
86018,aloumo01,2005,1,SFN,NL,123,427,67,137,21,3,19,63.0,5.0,1.0,56,43.0,1.0,3.0,0.0,4.0,11.0
86026,anderga01,2005,1,LAA,AL,142,575,68,163,34,1,17,96.0,1.0,1.0,23,84.0,8.0,0.0,0.0,5.0,13.0
86029,anderma02,2005,1,NYN,NL,123,235,31,62,9,0,7,19.0,6.0,1.0,18,45.0,0.0,1.0,4.0,2.0,2.0
86032,ardoida01,2005,1,COL,NL,80,210,28,48,10,0,6,22.0,1.0,1.0,20,69.0,2.0,9.0,7.0,2.0,8.0
86039,atkinga01,2005,1,COL,NL,138,519,62,149,31,1,13,89.0,0.0,2.0,45,72.0,1.0,5.0,0.0,4.0,18.0
86040,aurilri01,2005,1,CIN,NL,114,426,61,120,23,2,14,68.0,2.0,0.0,37,67.0,2.0,1.0,1.0,3.0,8.0
86041,ausmubr01,2005,1,HOU,NL,134,387,35,100,19,0,3,47.0,5.0,3.0,51,48.0,8.0,5.0,7.0,1.0,17.0
86046,baergca01,2005,1,WAS,NL,93,158,18,40,7,0,2,19.0,0.0,0.0,7,17.0,0.0,8.0,1.0,0.0,4.0
86056,barajro01,2005,1,TEX,AL,120,410,53,104,24,0,21,60.0,0.0,0.0,26,70.0,0.0,6.0,4.0,3.0,6.0
86058,barmecl01,2005,1,COL,NL,81,350,55,101,19,1,10,46.0,6.0,4.0,16,36.0,1.0,6.0,4.0,1.0,4.0
86059,barremi01,2005,1,CHN,NL,133,424,48,117,32,3,16,61.0,0.0,3.0,40,61.0,3.0,7.0,2.0,4.0,7.0
86066,bayja01,2005,1,PIT,NL,162,599,110,183,44,6,32,101.0,21.0,1.0,95,142.0,9.0,6.0,0.0,7.0,12.0
86074,bellda01,2005,1,PHI,NL,150,557,53,138,31,1,10,61.0,0.0,1.0,47,69.0,6.0,5.0,4.0,4.0,24.0
86076,bellhma01,2005,1,BOS,AL,85,283,41,61,20,0,7,28.0,3.0,0.0,49,109.0,1.0,0.0,0.0,3.0,4.0
86078,belliro01,2005,1,CLE,AL,145,536,71,152,36,1,17,78.0,2.0,2.0,35,72.0,0.0,1.0,8.0,7.0,17.0
86080,beltrad01,2005,1,SEA,AL,156,603,69,154,36,1,19,87.0,3.0,1.0,38,108.0,6.0,5.0,0.0,4.0,15.0
86081,beltrca01,2005,1,NYN,NL,151,582,83,155,34,2,16,78.0,17.0,6.0,56,96.0,5.0,2.0,4.0,6.0,9.0
86089,berkmla01,2005,1,HOU,NL,132,468,76,137,34,1,24,82.0,4.0,1.0,91,72.0,12.0,4.0,0.0,2.0,18.0
86091,berroan01,2005,1,KCA,AL,159,608,68,164,21,5,11,55.0,7.0,5.0,18,108.0,3.0,14.0,10.0,2.0,13.0
