,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,playerID,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,SO,IBB,AVG,OBP,SLG,OPS,label,POS
0,0,0,0,abreubo01,2005,162,588,104,168,37,1,24,102.0,117,134.0,15.0,0.28600000000000003,0.4,0.474,0.8740000000000001,0,OF
1,1,1,1,adamsru01,2005,139,481,68,123,27,5,8,63.0,50,57.0,1.0,0.256,0.321,0.38299999999999995,0.7040000000000001,0,SS
2,2,2,2,alfoned01,2005,109,368,36,102,17,1,2,43.0,27,34.0,1.0,0.27699999999999997,0.32299999999999995,0.345,0.6679999999999999,0,2B
3,3,3,3,aloumo01,2005,123,427,67,137,21,3,19,63.0,56,43.0,1.0,0.321,0.396,0.518,0.914,0,OF
4,4,4,4,anderga01,2005,142,575,68,163,34,1,17,96.0,23,84.0,8.0,0.28300000000000003,0.308,0.435,0.743,0,OF
5,5,5,5,anderma02,2005,123,235,31,62,9,0,7,19.0,18,45.0,0.0,0.264,0.314,0.391,0.705,0,1B
6,6,6,6,ardoida01,2005,80,210,28,48,10,0,6,22.0,20,69.0,2.0,0.22899999999999998,0.293,0.36200000000000004,0.655,0,C
7,7,7,7,atkinga01,2005,138,519,62,149,31,1,13,89.0,45,72.0,1.0,0.287,0.342,0.426,0.768,0,3B
8,8,8,8,aurilri01,2005,114,426,61,120,23,2,14,68.0,37,67.0,2.0,0.282,0.337,0.444,0.7809999999999999,0,2B
9,9,9,9,ausmubr01,2005,134,387,35,100,19,0,3,47.0,51,48.0,8.0,0.258,0.344,0.331,0.675,0,2B
10,10,10,10,baergca01,2005,93,158,18,40,7,0,2,19.0,7,17.0,0.0,0.253,0.285,0.335,0.62,0,1B
11,11,11,11,barajro01,2005,120,410,53,104,24,0,21,60.0,26,70.0,0.0,0.254,0.29600000000000004,0.466,0.762,0,1B
12,12,12,12,barmecl01,2005,81,350,55,101,19,1,10,46.0,16,36.0,1.0,0.289,0.319,0.434,0.753,0,SS
13,13,13,13,barremi01,2005,133,424,48,117,32,3,16,61.0,40,61.0,3.0,0.276,0.335,0.479,0.8140000000000001,1,C
14,14,14,14,bayja01,2005,162,599,110,183,44,6,32,101.0,95,142.0,9.0,0.306,0.397,0.5589999999999999,0.956,0,OF
15,15,15,15,bellda01,2005,150,557,53,138,31,1,10,61.0,47,69.0,6.0,0.248,0.304,0.361,0.665,0,3B
16,16,16,16,bellhma01,2005,85,283,41,61,20,0,7,28.0,49,109.0,1.0,0.21600000000000005,0.32799999999999996,0.36,0.688,0,2B
17,17,17,17,belliro01,2005,145,536,71,152,36,1,17,78.0,35,72.0,0.0,0.284,0.324,0.45,0.774,0,2B
18,18,18,18,beltrad01,2005,156,603,69,154,36,1,19,87.0,38,108.0,6.0,0.255,0.298,0.413,0.711,0,3B
19,19,19,19,beltrca01,2005,151,582,83,155,34,2,16,78.0,56,96.0,5.0,0.266,0.32799999999999996,0.414,0.742,0,OF
20,20,20,20,berkmla01,2005,132,468,76,137,34,1,24,82.0,91,72.0,12.0,0.293,0.406,0.524,0.93,0,1B
21,21,21,21,berroan01,2005,159,608,68,164,21,5,11,55.0,18,108.0,3.0,0.27,0.29,0.375,0.665,0,SS
22,22,22,22,betemwi01,2005,115,246,36,75,12,4,4,20.0,22,55.0,4.0,0.305,0.359,0.435,0.794,0,2B
23,23,23,23,biggicr01,2005,155,590,94,156,40,1,26,69.0,37,90.0,2.0,0.264,0.306,0.46799999999999997,0.774,0,2B
24,24,24,24,blakeca01,2005,147,523,72,126,32,1,23,58.0,43,116.0,3.0,0.24100000000000002,0.29600000000000004,0.43799999999999994,0.7340000000000001,0,1B
25,25,25,25,blaloha01,2005,161,647,80,170,34,0,25,92.0,51,132.0,1.0,0.263,0.315,0.431,0.746,0,3B
26,26,26,26,bloomwi01,2005,82,249,27,64,15,2,0,22.0,11,38.0,0.0,0.257,0.28600000000000003,0.33299999999999996,0.619,0,1B
27,27,27,27,booneaa01,2005,143,511,61,124,19,1,16,60.0,35,92.0,3.0,0.243,0.28800000000000003,0.37799999999999995,0.6659999999999999,0,3B
28,28,28,28,branyru01,2005,85,202,23,52,11,0,12,31.0,39,80.0,10.0,0.257,0.37799999999999995,0.49,0.868,0,1B
